Frame, Time (ms)
 1436, 16034.113
 1437, 16045.407
 1438, 16056.326
 1439, 16067.306
 1440, 16078.496
 1441, 16089.497
 1442, 16100.516
 1443, 16111.614
 1444, 16122.781
 1445, 16133.812
 1446, 16144.787
 1447, 16155.820
 1448, 16166.836
 1449, 16177.820
 1450, 16188.833
 1451, 16199.765
 1452, 16210.800
 1453, 16221.772
 1454, 16232.794
 1455, 16243.829
 1456, 16254.851
 1457, 16265.927
 1458, 16277.028
 1459, 16288.061
 1460, 16299.132
 1461, 16310.231
 1462, 16321.332
 1463, 16332.418
 1464, 16343.575
 1465, 16354.775
 1466, 16366.134
 1467, 16377.140
 1468, 16388.216
 1469, 16399.328
 1470, 16410.344
 1471, 16421.351
 1472, 16432.620
 1473, 16443.638
 1474, 16454.674
 1475, 16465.812
 1476, 16476.798
 1477, 16487.832
 1478, 16498.998
 1479, 16510.033
 1480, 16521.084
 1481, 16532.263
 1482, 16543.262
 1483, 16554.254
 1484, 16565.516
 1485, 16576.419
 1486, 16587.420
 1487, 16598.716
 1488, 16609.731
 1489, 16620.771
 1490, 16631.834
 1491, 16642.798
 1492, 16653.825
 1493, 16665.119
 1494, 16676.059
 1495, 16687.017
 1496, 16698.171
 1497, 16709.015
 1498, 16720.097
 1499, 16731.298
 1500, 16742.243
 1501, 16753.243
 1502, 16764.457
 1503, 16775.324
 1504, 16786.263
